index,name,column,row_from_top,x_pixels,y_pixels_from_bottom,width,height
0,Grass_Plain,0,0,0,112,16,16
1,Grass_Tufts,1,0,16,112,16,16
2,Dirt_Plain,2,0,32,112,16,16
3,Dirt_Pebbles,3,0,48,112,16,16
4,Stone_Paving,4,0,64,112,16,16
5,Stone_Moss,5,0,80,112,16,16
6,Water_Calm,6,0,96,112,16,16
7,Water_Lilies,7,0,112,112,16,16
8,Grass_Flowers_White,0,1,0,96,16,16
9,Grass_Flowers_Yellow,1,1,16,96,16,16
10,Grass_Flowers_Purple,2,1,32,96,16,16
11,Grass_Flowers_Red,3,1,48,96,16,16
12,Grass_Rocks,4,1,64,96,16,16
13,Dirt_Rocks,5,1,80,96,16,16
14,Grass_Tall,6,1,96,96,16,16
15,Water_Reeds,7,1,112,96,16,16
16,GrassWater_Center,0,2,0,80,16,16
17,GrassWater_Edge_N,1,2,16,80,16,16
18,GrassWater_Edge_E,2,2,32,80,16,16
19,GrassWater_Edge_S,3,2,48,80,16,16
20,GrassWater_Edge_W,4,2,64,80,16,16
21,GrassWater_Outer_NW,5,2,80,80,16,16
22,GrassWater_Outer_NE,6,2,96,80,16,16
23,GrassWater_Outer_SE,7,2,112,80,16,16
24,GrassWater_Outer_SW,0,3,0,64,16,16
25,GrassWater_Inner_NW,1,3,16,64,16,16
26,GrassWater_Inner_NE,2,3,32,64,16,16
27,GrassWater_Inner_SE,3,3,48,64,16,16
28,GrassWater_Inner_SW,4,3,64,64,16,16
29,GrassWater_Channel_EW,5,3,80,64,16,16
30,GrassWater_Channel_NS,6,3,96,64,16,16
31,GrassWater_Pool,7,3,112,64,16,16
32,DirtWater_Center,0,4,0,48,16,16
33,DirtWater_Edge_N,1,4,16,48,16,16
34,DirtWater_Edge_E,2,4,32,48,16,16
35,DirtWater_Edge_S,3,4,48,48,16,16
36,DirtWater_Edge_W,4,4,64,48,16,16
37,DirtWater_Outer_NW,5,4,80,48,16,16
38,DirtWater_Outer_NE,6,4,96,48,16,16
39,DirtWater_Outer_SE,7,4,112,48,16,16
40,DirtWater_Outer_SW,0,5,0,32,16,16
41,DirtWater_Inner_NW,1,5,16,32,16,16
42,DirtWater_Inner_NE,2,5,32,32,16,16
43,DirtWater_Inner_SE,3,5,48,32,16,16
44,DirtWater_Inner_SW,4,5,64,32,16,16
45,DirtWater_Channel_EW,5,5,80,32,16,16
46,DirtWater_Channel_NS,6,5,96,32,16,16
47,DirtWater_Pool,7,5,112,32,16,16
48,GrassDirt_Center,0,6,0,16,16,16
49,GrassDirt_Edge_N,1,6,16,16,16,16
50,GrassDirt_Edge_E,2,6,32,16,16,16
51,GrassDirt_Edge_S,3,6,48,16,16,16
52,GrassDirt_Edge_W,4,6,64,16,16,16
53,GrassDirt_Outer_NW,5,6,80,16,16,16
54,GrassDirt_Outer_NE,6,6,96,16,16,16
55,GrassDirt_Outer_SE,7,6,112,16,16,16
56,GrassDirt_Outer_SW,0,7,0,0,16,16
57,GrassDirt_Inner_NW,1,7,16,0,16,16
58,GrassDirt_Inner_NE,2,7,32,0,16,16
59,GrassDirt_Inner_SE,3,7,48,0,16,16
60,GrassDirt_Inner_SW,4,7,64,0,16,16
61,GrassDirt_Channel_EW,5,7,80,0,16,16
62,GrassDirt_Channel_NS,6,7,96,0,16,16
63,GrassDirt_Pool,7,7,112,0,16,16
