name,material,mask,variant,index,x,y,width,height
Grass_Fill_00,Grass,255,0,0,2,382,16,16
Grass_Fill_01,Grass,255,1,1,22,382,16,16
Grass_Fill_02,Grass,255,2,2,42,382,16,16
Grass_Fill_03,Grass,255,3,3,62,382,16,16
Grass_Fill_04,Grass,255,4,4,82,382,16,16
Grass_Fill_05,Grass,255,5,5,102,382,16,16
Grass_Fill_06,Grass,255,6,6,122,382,16,16
Grass_Fill_07,Grass,255,7,7,142,382,16,16
DryGrass_Island_000,DryGrass,0,0,8,162,382,16,16
DryGrass_End_N_001,DryGrass,1,0,9,182,382,16,16
DryGrass_End_E_002,DryGrass,2,0,10,202,382,16,16
DryGrass_Junction_003,DryGrass,3,0,11,222,382,16,16
DryGrass_End_S_004,DryGrass,4,0,12,242,382,16,16
DryGrass_Straight_NS_005,DryGrass,5,0,13,262,382,16,16
DryGrass_Junction_006,DryGrass,6,0,14,282,382,16,16
DryGrass_Junction_007,DryGrass,7,0,15,302,382,16,16
DryGrass_End_W_008,DryGrass,8,0,16,2,362,16,16
DryGrass_Junction_009,DryGrass,9,0,17,22,362,16,16
DryGrass_Straight_EW_010,DryGrass,10,0,18,42,362,16,16
DryGrass_Junction_011,DryGrass,11,0,19,62,362,16,16
DryGrass_Junction_012,DryGrass,12,0,20,82,362,16,16
DryGrass_Junction_013,DryGrass,13,0,21,102,362,16,16
DryGrass_Junction_014,DryGrass,14,0,22,122,362,16,16
DryGrass_Junction_015,DryGrass,15,0,23,142,362,16,16
DryGrass_Bend_NE_019,DryGrass,19,0,24,162,362,16,16
DryGrass_Junction_023,DryGrass,23,0,25,182,362,16,16
DryGrass_Junction_027,DryGrass,27,0,26,202,362,16,16
DryGrass_Junction_031,DryGrass,31,0,27,222,362,16,16
DryGrass_Bend_SE_038,DryGrass,38,0,28,242,362,16,16
DryGrass_Junction_039,DryGrass,39,0,29,262,362,16,16
DryGrass_Junction_046,DryGrass,46,0,30,282,362,16,16
DryGrass_Junction_047,DryGrass,47,0,31,302,362,16,16
DryGrass_Edge_W_055,DryGrass,55,0,32,2,342,16,16
DryGrass_Junction_063,DryGrass,63,0,33,22,342,16,16
DryGrass_Bend_SW_076,DryGrass,76,0,34,42,342,16,16
DryGrass_Junction_077,DryGrass,77,0,35,62,342,16,16
DryGrass_Junction_078,DryGrass,78,0,36,82,342,16,16
DryGrass_Junction_079,DryGrass,79,0,37,102,342,16,16
DryGrass_Junction_095,DryGrass,95,0,38,122,342,16,16
DryGrass_Edge_N_110,DryGrass,110,0,39,142,342,16,16
DryGrass_Junction_111,DryGrass,111,0,40,162,342,16,16
DryGrass_Inner_NW_127,DryGrass,127,0,41,182,342,16,16
DryGrass_Bend_NW_137,DryGrass,137,0,42,202,342,16,16
DryGrass_Junction_139,DryGrass,139,0,43,222,342,16,16
DryGrass_Junction_141,DryGrass,141,0,44,242,342,16,16
DryGrass_Junction_143,DryGrass,143,0,45,262,342,16,16
DryGrass_Edge_S_155,DryGrass,155,0,46,282,342,16,16
DryGrass_Junction_159,DryGrass,159,0,47,302,342,16,16
DryGrass_Junction_175,DryGrass,175,0,48,2,322,16,16
DryGrass_Inner_SW_191,DryGrass,191,0,49,22,322,16,16
DryGrass_Edge_E_205,DryGrass,205,0,50,42,322,16,16
DryGrass_Junction_207,DryGrass,207,0,51,62,322,16,16
DryGrass_Inner_SE_223,DryGrass,223,0,52,82,322,16,16
DryGrass_Inner_NE_239,DryGrass,239,0,53,102,322,16,16
DryGrass_Center_255,DryGrass,255,0,54,122,322,16,16
DryGrass_Center_Variant_01,DryGrass,255,1,55,142,322,16,16
DryGrass_Center_Variant_02,DryGrass,255,2,56,162,322,16,16
DryGrass_Center_Variant_03,DryGrass,255,3,57,182,322,16,16
Earth_Island_000,Earth,0,0,58,202,322,16,16
Earth_End_N_001,Earth,1,0,59,222,322,16,16
Earth_End_E_002,Earth,2,0,60,242,322,16,16
Earth_Junction_003,Earth,3,0,61,262,322,16,16
Earth_End_S_004,Earth,4,0,62,282,322,16,16
Earth_Straight_NS_005,Earth,5,0,63,302,322,16,16
Earth_Junction_006,Earth,6,0,64,2,302,16,16
Earth_Junction_007,Earth,7,0,65,22,302,16,16
Earth_End_W_008,Earth,8,0,66,42,302,16,16
Earth_Junction_009,Earth,9,0,67,62,302,16,16
Earth_Straight_EW_010,Earth,10,0,68,82,302,16,16
Earth_Junction_011,Earth,11,0,69,102,302,16,16
Earth_Junction_012,Earth,12,0,70,122,302,16,16
Earth_Junction_013,Earth,13,0,71,142,302,16,16
Earth_Junction_014,Earth,14,0,72,162,302,16,16
Earth_Junction_015,Earth,15,0,73,182,302,16,16
Earth_Bend_NE_019,Earth,19,0,74,202,302,16,16
Earth_Junction_023,Earth,23,0,75,222,302,16,16
Earth_Junction_027,Earth,27,0,76,242,302,16,16
Earth_Junction_031,Earth,31,0,77,262,302,16,16
Earth_Bend_SE_038,Earth,38,0,78,282,302,16,16
Earth_Junction_039,Earth,39,0,79,302,302,16,16
Earth_Junction_046,Earth,46,0,80,2,282,16,16
Earth_Junction_047,Earth,47,0,81,22,282,16,16
Earth_Edge_W_055,Earth,55,0,82,42,282,16,16
Earth_Junction_063,Earth,63,0,83,62,282,16,16
Earth_Bend_SW_076,Earth,76,0,84,82,282,16,16
Earth_Junction_077,Earth,77,0,85,102,282,16,16
Earth_Junction_078,Earth,78,0,86,122,282,16,16
Earth_Junction_079,Earth,79,0,87,142,282,16,16
Earth_Junction_095,Earth,95,0,88,162,282,16,16
Earth_Edge_N_110,Earth,110,0,89,182,282,16,16
Earth_Junction_111,Earth,111,0,90,202,282,16,16
Earth_Inner_NW_127,Earth,127,0,91,222,282,16,16
Earth_Bend_NW_137,Earth,137,0,92,242,282,16,16
Earth_Junction_139,Earth,139,0,93,262,282,16,16
Earth_Junction_141,Earth,141,0,94,282,282,16,16
Earth_Junction_143,Earth,143,0,95,302,282,16,16
Earth_Edge_S_155,Earth,155,0,96,2,262,16,16
Earth_Junction_159,Earth,159,0,97,22,262,16,16
Earth_Junction_175,Earth,175,0,98,42,262,16,16
Earth_Inner_SW_191,Earth,191,0,99,62,262,16,16
Earth_Edge_E_205,Earth,205,0,100,82,262,16,16
Earth_Junction_207,Earth,207,0,101,102,262,16,16
Earth_Inner_SE_223,Earth,223,0,102,122,262,16,16
Earth_Inner_NE_239,Earth,239,0,103,142,262,16,16
Earth_Center_255,Earth,255,0,104,162,262,16,16
Earth_Center_Variant_01,Earth,255,1,105,182,262,16,16
Earth_Center_Variant_02,Earth,255,2,106,202,262,16,16
Earth_Center_Variant_03,Earth,255,3,107,222,262,16,16
DampEarth_Island_000,DampEarth,0,0,108,242,262,16,16
DampEarth_End_N_001,DampEarth,1,0,109,262,262,16,16
DampEarth_End_E_002,DampEarth,2,0,110,282,262,16,16
DampEarth_Junction_003,DampEarth,3,0,111,302,262,16,16
DampEarth_End_S_004,DampEarth,4,0,112,2,242,16,16
DampEarth_Straight_NS_005,DampEarth,5,0,113,22,242,16,16
DampEarth_Junction_006,DampEarth,6,0,114,42,242,16,16
DampEarth_Junction_007,DampEarth,7,0,115,62,242,16,16
DampEarth_End_W_008,DampEarth,8,0,116,82,242,16,16
DampEarth_Junction_009,DampEarth,9,0,117,102,242,16,16
DampEarth_Straight_EW_010,DampEarth,10,0,118,122,242,16,16
DampEarth_Junction_011,DampEarth,11,0,119,142,242,16,16
DampEarth_Junction_012,DampEarth,12,0,120,162,242,16,16
DampEarth_Junction_013,DampEarth,13,0,121,182,242,16,16
DampEarth_Junction_014,DampEarth,14,0,122,202,242,16,16
DampEarth_Junction_015,DampEarth,15,0,123,222,242,16,16
DampEarth_Bend_NE_019,DampEarth,19,0,124,242,242,16,16
DampEarth_Junction_023,DampEarth,23,0,125,262,242,16,16
DampEarth_Junction_027,DampEarth,27,0,126,282,242,16,16
DampEarth_Junction_031,DampEarth,31,0,127,302,242,16,16
DampEarth_Bend_SE_038,DampEarth,38,0,128,2,222,16,16
DampEarth_Junction_039,DampEarth,39,0,129,22,222,16,16
DampEarth_Junction_046,DampEarth,46,0,130,42,222,16,16
DampEarth_Junction_047,DampEarth,47,0,131,62,222,16,16
DampEarth_Edge_W_055,DampEarth,55,0,132,82,222,16,16
DampEarth_Junction_063,DampEarth,63,0,133,102,222,16,16
DampEarth_Bend_SW_076,DampEarth,76,0,134,122,222,16,16
DampEarth_Junction_077,DampEarth,77,0,135,142,222,16,16
DampEarth_Junction_078,DampEarth,78,0,136,162,222,16,16
DampEarth_Junction_079,DampEarth,79,0,137,182,222,16,16
DampEarth_Junction_095,DampEarth,95,0,138,202,222,16,16
DampEarth_Edge_N_110,DampEarth,110,0,139,222,222,16,16
DampEarth_Junction_111,DampEarth,111,0,140,242,222,16,16
DampEarth_Inner_NW_127,DampEarth,127,0,141,262,222,16,16
DampEarth_Bend_NW_137,DampEarth,137,0,142,282,222,16,16
DampEarth_Junction_139,DampEarth,139,0,143,302,222,16,16
DampEarth_Junction_141,DampEarth,141,0,144,2,202,16,16
DampEarth_Junction_143,DampEarth,143,0,145,22,202,16,16
DampEarth_Edge_S_155,DampEarth,155,0,146,42,202,16,16
DampEarth_Junction_159,DampEarth,159,0,147,62,202,16,16
DampEarth_Junction_175,DampEarth,175,0,148,82,202,16,16
DampEarth_Inner_SW_191,DampEarth,191,0,149,102,202,16,16
DampEarth_Edge_E_205,DampEarth,205,0,150,122,202,16,16
DampEarth_Junction_207,DampEarth,207,0,151,142,202,16,16
DampEarth_Inner_SE_223,DampEarth,223,0,152,162,202,16,16
DampEarth_Inner_NE_239,DampEarth,239,0,153,182,202,16,16
DampEarth_Center_255,DampEarth,255,0,154,202,202,16,16
DampEarth_Center_Variant_01,DampEarth,255,1,155,222,202,16,16
DampEarth_Center_Variant_02,DampEarth,255,2,156,242,202,16,16
DampEarth_Center_Variant_03,DampEarth,255,3,157,262,202,16,16
WornStone_Island_000,WornStone,0,0,158,282,202,16,16
WornStone_End_N_001,WornStone,1,0,159,302,202,16,16
WornStone_End_E_002,WornStone,2,0,160,2,182,16,16
WornStone_Junction_003,WornStone,3,0,161,22,182,16,16
WornStone_End_S_004,WornStone,4,0,162,42,182,16,16
WornStone_Straight_NS_005,WornStone,5,0,163,62,182,16,16
WornStone_Junction_006,WornStone,6,0,164,82,182,16,16
WornStone_Junction_007,WornStone,7,0,165,102,182,16,16
WornStone_End_W_008,WornStone,8,0,166,122,182,16,16
WornStone_Junction_009,WornStone,9,0,167,142,182,16,16
WornStone_Straight_EW_010,WornStone,10,0,168,162,182,16,16
WornStone_Junction_011,WornStone,11,0,169,182,182,16,16
WornStone_Junction_012,WornStone,12,0,170,202,182,16,16
WornStone_Junction_013,WornStone,13,0,171,222,182,16,16
WornStone_Junction_014,WornStone,14,0,172,242,182,16,16
WornStone_Junction_015,WornStone,15,0,173,262,182,16,16
WornStone_Bend_NE_019,WornStone,19,0,174,282,182,16,16
WornStone_Junction_023,WornStone,23,0,175,302,182,16,16
WornStone_Junction_027,WornStone,27,0,176,2,162,16,16
WornStone_Junction_031,WornStone,31,0,177,22,162,16,16
WornStone_Bend_SE_038,WornStone,38,0,178,42,162,16,16
WornStone_Junction_039,WornStone,39,0,179,62,162,16,16
WornStone_Junction_046,WornStone,46,0,180,82,162,16,16
WornStone_Junction_047,WornStone,47,0,181,102,162,16,16
WornStone_Edge_W_055,WornStone,55,0,182,122,162,16,16
WornStone_Junction_063,WornStone,63,0,183,142,162,16,16
WornStone_Bend_SW_076,WornStone,76,0,184,162,162,16,16
WornStone_Junction_077,WornStone,77,0,185,182,162,16,16
WornStone_Junction_078,WornStone,78,0,186,202,162,16,16
