name,material,mask,variant,index,x,y,width,height
DirtLane_Island_000,DirtLane,0,0,0,2,182,16,16
DirtLane_End_N_001,DirtLane,1,0,1,22,182,16,16
DirtLane_End_E_002,DirtLane,2,0,2,42,182,16,16
DirtLane_Junction_003,DirtLane,3,0,3,62,182,16,16
DirtLane_End_S_004,DirtLane,4,0,4,82,182,16,16
DirtLane_Straight_NS_005,DirtLane,5,0,5,102,182,16,16
DirtLane_Junction_006,DirtLane,6,0,6,122,182,16,16
DirtLane_Junction_007,DirtLane,7,0,7,142,182,16,16
DirtLane_End_W_008,DirtLane,8,0,8,162,182,16,16
DirtLane_Junction_009,DirtLane,9,0,9,182,182,16,16
DirtLane_Straight_EW_010,DirtLane,10,0,10,2,162,16,16
DirtLane_Junction_011,DirtLane,11,0,11,22,162,16,16
DirtLane_Junction_012,DirtLane,12,0,12,42,162,16,16
DirtLane_Junction_013,DirtLane,13,0,13,62,162,16,16
DirtLane_Junction_014,DirtLane,14,0,14,82,162,16,16
DirtLane_Junction_015,DirtLane,15,0,15,102,162,16,16
DirtLane_Bend_NE_019,DirtLane,19,0,16,122,162,16,16
DirtLane_Junction_023,DirtLane,23,0,17,142,162,16,16
DirtLane_Junction_027,DirtLane,27,0,18,162,162,16,16
DirtLane_Junction_031,DirtLane,31,0,19,182,162,16,16
DirtLane_Bend_SE_038,DirtLane,38,0,20,2,142,16,16
DirtLane_Junction_039,DirtLane,39,0,21,22,142,16,16
DirtLane_Junction_046,DirtLane,46,0,22,42,142,16,16
DirtLane_Junction_047,DirtLane,47,0,23,62,142,16,16
DirtLane_Edge_W_055,DirtLane,55,0,24,82,142,16,16
DirtLane_Junction_063,DirtLane,63,0,25,102,142,16,16
DirtLane_Bend_SW_076,DirtLane,76,0,26,122,142,16,16
DirtLane_Junction_077,DirtLane,77,0,27,142,142,16,16
DirtLane_Junction_078,DirtLane,78,0,28,162,142,16,16
DirtLane_Junction_079,DirtLane,79,0,29,182,142,16,16
DirtLane_Junction_095,DirtLane,95,0,30,2,122,16,16
DirtLane_Edge_N_110,DirtLane,110,0,31,22,122,16,16
