name,material,mask,variant,index,x,y,width,height
MeadowWater_Island_000,MeadowWater,0,0,0,2,382,16,16
MeadowWater_End_N_001,MeadowWater,1,0,1,22,382,16,16
MeadowWater_End_E_002,MeadowWater,2,0,2,42,382,16,16
MeadowWater_Junction_003,MeadowWater,3,0,3,62,382,16,16
MeadowWater_End_S_004,MeadowWater,4,0,4,82,382,16,16
MeadowWater_Straight_NS_005,MeadowWater,5,0,5,102,382,16,16
MeadowWater_Junction_006,MeadowWater,6,0,6,122,382,16,16
MeadowWater_Junction_007,MeadowWater,7,0,7,142,382,16,16
MeadowWater_End_W_008,MeadowWater,8,0,8,162,382,16,16
MeadowWater_Junction_009,MeadowWater,9,0,9,182,382,16,16
MeadowWater_Straight_EW_010,MeadowWater,10,0,10,202,382,16,16
MeadowWater_Junction_011,MeadowWater,11,0,11,222,382,16,16
MeadowWater_Junction_012,MeadowWater,12,0,12,242,382,16,16
MeadowWater_Junction_013,MeadowWater,13,0,13,262,382,16,16
MeadowWater_Junction_014,MeadowWater,14,0,14,282,382,16,16
MeadowWater_Junction_015,MeadowWater,15,0,15,302,382,16,16
MeadowWater_Bend_NE_019,MeadowWater,19,0,16,2,362,16,16
MeadowWater_Junction_023,MeadowWater,23,0,17,22,362,16,16
MeadowWater_Junction_027,MeadowWater,27,0,18,42,362,16,16
MeadowWater_Junction_031,MeadowWater,31,0,19,62,362,16,16
MeadowWater_Bend_SE_038,MeadowWater,38,0,20,82,362,16,16
MeadowWater_Junction_039,MeadowWater,39,0,21,102,362,16,16
MeadowWater_Junction_046,MeadowWater,46,0,22,122,362,16,16
MeadowWater_Junction_047,MeadowWater,47,0,23,142,362,16,16
MeadowWater_Edge_W_055,MeadowWater,55,0,24,162,362,16,16
MeadowWater_Junction_063,MeadowWater,63,0,25,182,362,16,16
MeadowWater_Bend_SW_076,MeadowWater,76,0,26,202,362,16,16
MeadowWater_Junction_077,MeadowWater,77,0,27,222,362,16,16
MeadowWater_Junction_078,MeadowWater,78,0,28,242,362,16,16
MeadowWater_Junction_079,MeadowWater,79,0,29,262,362,16,16
MeadowWater_Junction_095,MeadowWater,95,0,30,282,362,16,16
MeadowWater_Edge_N_110,MeadowWater,110,0,31,302,362,16,16
